ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
cpu7:memory, ReadInFlight, , Accumulator, 549676000, 7, 7904, 7904, 7904, 1, 1
cpu7:memory, ReadPending, , Accumulator, 549676000, 7, 7904, 7904, 7904, 1, 1
cpu7:memory, ReadBytes, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, WriteInFlight, , Accumulator, 549676000, 7, 5752, 5752, 5752, 1, 1
cpu7:memory, WritePending, , Accumulator, 549676000, 7, 5752, 5752, 5752, 1, 1
cpu7:memory, WriteBytes, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, FlushInFlight, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, FlushPending, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, ReadLockInFlight, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, ReadLockPending, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, ReadLockBytes, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, WriteUnlockInFlight, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, WriteUnlockPending, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, WriteUnlockBytes, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, LoadLinkInFlight, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, LoadLinkPending, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, StoreCondInFlight, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, StoreCondPending, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, CustomInFlight, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, CustomPending, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, CustomBytes, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, FencePending, , Accumulator, 549676000, 7, 1406, 1406, 1406, 1, 1
cpu7:memory, AMOAddBytes, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, AMOAddPending, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, AMOXorBytes, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, AMOXorPending, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, AMOAndBytes, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, AMOAndPending, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, AMOOrBytes, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, AMOOrPending, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, AMOMinBytes, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, AMOMinPending, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, AMOMaxBytes, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, AMOMaxPending, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, AMOMinuBytes, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, AMOMinuPending, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, AMOMaxuBytes, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, AMOMaxuPending, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, AMOSwapBytes, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:memory, AMOSwapPending, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:remote_memory:xbgasNicIface:iface, packet_latency, , Accumulator, 549676000, 7, 2589, 115613, 58, 43, 46
cpu7:remote_memory:xbgasNicIface:iface, send_bit_count, , Accumulator, 549676000, 7, 0, 0, 58, 0, 0
cpu7:remote_memory:xbgasNicIface:iface, output_port_stalls, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:remote_memory:xbgasNicIface:iface, idle_time, , Accumulator, 549676000, 7, 103899400, 2053808859560000, 60, 45600, 37742200
cpu7:remote_memory, RmtReadInFlight, , Accumulator, 549676000, 7, 7, 7, 7, 1, 1
cpu7:remote_memory, RmtReadPending, , Accumulator, 549676000, 7, 7, 7, 7, 1, 1
cpu7:remote_memory, RmtReadBytes, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7:remote_memory, RmtWriteInFlight, , Accumulator, 549676000, 7, 22, 22, 22, 1, 1
cpu7:remote_memory, RmtWritePending, , Accumulator, 549676000, 7, 22, 22, 22, 1, 1
cpu7:remote_memory, RmtWritesBytes, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
cpu7, TotalCycles, core_0, Accumulator, 549676000, 7, 1373915, 1887642427225, 1, 1373915, 1373915
cpu7, CyclesWithIssue, core_0, Accumulator, 549676000, 7, 27563, 759718969, 1, 27563, 27563
cpu7, FloatsRead, core_0, Accumulator, 549676000, 7, 0, 0, 1, 0, 0
cpu7, FloatsWritten, core_0, Accumulator, 549676000, 7, 0, 0, 1, 0, 0
cpu7, DoublesRead, core_0, Accumulator, 549676000, 7, 0, 0, 1, 0, 0
cpu7, DoublesWritten, core_0, Accumulator, 549676000, 7, 20, 400, 1, 20, 20
cpu7, BytesRead, core_0, Accumulator, 549676000, 7, 51046, 2605694116, 1, 51046, 51046
cpu7, BytesWritten, core_0, Accumulator, 549676000, 7, 94172, 8868365584, 1, 94172, 94172
cpu7, FloatsExec, core_0, Accumulator, 549676000, 7, 250, 62500, 1, 250, 250
cpu7, TLBHitsPerCore, core_0, Accumulator, 549676000, 7, 5021, 25210441, 1, 5021, 5021
cpu7, TLBMissesPerCore, core_0, Accumulator, 549676000, 7, 8635, 74563225, 1, 8635, 8635
memory7, requests_received_GetS, , Accumulator, 549676000, 7, 7904, 7904, 7904, 1, 1
memory7, requests_received_GetSX, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
memory7, requests_received_GetX, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
memory7, requests_received_Write, , Accumulator, 549676000, 7, 5752, 5752, 5752, 1, 1
memory7, requests_received_PutM, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
memory7, outstanding_requests, , Accumulator, 549676000, 7, 3430925, 183804705, 1374190, 0, 202
memory7, latency_GetS, , Accumulator, 549676000, 7, 1985295, 498659577, 7904, 251, 252
memory7, latency_GetSX, , Accumulator, 549676000, 7, 0, 0, 0, 0, 0
